City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Victoria,HK,86.25,clear sky,22.2855,114.1577,Mini Hotel Central
11,Wewak,PG,81.52,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
16,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
17,Abu Dhabi,AE,87.91,overcast clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
23,Mount Isa,AU,89.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
27,Buchanan,LR,75.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
32,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
35,New Ulm,US,75.6,clear sky,44.3125,-94.4605,Best Western Plus New Ulm
36,Tucumcari,US,82.24,few clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
53,Gigmoto,PH,84.24,broken clouds,13.7796,124.39,Cj's Travellers Inn
54,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
61,Mecca,SA,86.4,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
63,Bengkulu,ID,78.33,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
64,Emerald,AU,75.34,broken clouds,-23.5333,148.1667,The Irish Village
67,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
73,Kapaa,US,85.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Camargo,MX,79.68,clear sky,27.6667,-105.1667,Hotel Santa Fe
75,Butaritari,KI,83.88,clear sky,3.0707,172.7902,Isles Sunset Lodge
78,San Jose,US,77.72,smoke,37.3394,-121.895,The Westin San Jose
79,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Liku,ID,83.43,overcast clouds,-0.7275,119.8922,Wahyu
97,Atuona,PF,77.85,few clouds,-9.8,-139.0333,Villa Enata
98,Bosaso,SO,87.73,broken clouds,11.2842,49.1816,Red Sea Hotel
100,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
104,Naze,JP,83.32,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
106,Phangnga,TH,75.31,overcast clouds,8.4509,98.5298,Sunimit Mansion
118,Cabo San Lucas,MX,88.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
119,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
122,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
126,Jeremie,HT,81.34,few clouds,18.65,-74.1167,Auberge’Inn
129,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
130,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
133,Aswan,EG,77.92,clear sky,24.0934,32.907,Nuba Nile
134,Matamoros,MX,85.1,overcast clouds,25.5333,-103.25,Quinta Belem
135,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
136,Faanui,PF,79.63,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Vanimo,PG,85.19,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
141,Pangkalanbuun,ID,81.86,light rain,-2.6833,111.6167,Grand Kecubung Hotel
145,Billings,US,89.37,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
149,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,ibis Balikpapan
151,Dingle,PH,83.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
161,Sabang,ID,80.46,overcast clouds,5.8933,95.3214,Hotel Citra
162,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
167,Harper,LR,76.17,overcast clouds,4.375,-7.7169,Screensaver
168,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
170,Aquidauana,BR,85.64,scattered clouds,-20.4711,-55.7872,HOTEL ARARAS
172,Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
174,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
177,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
181,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
182,Veraval,IN,78.75,overcast clouds,20.9,70.3667,Lords Inn Somnath
184,Howard Springs,AU,89.87,scattered clouds,-12.497,131.047,buffalo beach hostel
190,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
195,Roebourne,AU,78.82,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
196,Digha,IN,78.57,overcast clouds,21.6833,87.55,Khoniker Atithi
198,Arlit,NE,84.13,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
202,Acarau,BR,80.37,broken clouds,-2.8856,-40.12,castelo pizzaria
