City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,55.8,66,89,12.75,light rain
1,Rikitea,PF,-23.1203,-134.9692,73.33,74,5,21.12,clear sky
2,Uyemskiy,RU,64.4743,40.8524,33.85,100,20,2.24,mist
3,Broome,US,42.2506,-75.833,68.38,62,40,1.01,scattered clouds
4,Staunton,US,38.1496,-79.0717,68.72,60,1,1.01,clear sky
5,Jamestown,US,42.097,-79.2353,67.64,77,1,1.99,clear sky
6,Bredasdorp,ZA,-34.5322,20.0403,46.27,90,0,6.51,clear sky
7,Talnakh,RU,69.4865,88.3972,31.91,57,100,1.28,overcast clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,94,40,16.11,scattered clouds
9,Saint-Joseph,RE,-21.3667,55.6167,68.36,73,33,12.88,scattered clouds
10,Victoria,HK,22.2855,114.1577,86.25,77,4,1.01,clear sky
11,Wewak,PG,-3.5534,143.6268,81.52,80,86,5.46,overcast clouds
12,Chicama,PE,-7.8447,-79.1469,59.54,80,11,6.33,few clouds
13,Albany,US,42.6001,-73.9662,69.8,83,96,5.46,overcast clouds
14,Maura,NO,60.25,11.0167,50.47,94,90,6.91,moderate rain
15,Iqaluit,CA,63.7506,-68.5145,31.73,86,75,5.99,broken clouds
16,Avarua,CK,-21.2078,-159.775,80.65,74,40,10.36,scattered clouds
17,Abu Dhabi,AE,24.4667,54.3667,87.91,66,94,3.44,overcast clouds
18,Deputatskiy,RU,69.3,139.9,24.64,66,94,6.02,overcast clouds
19,Castro,BR,-24.7911,-50.0119,65.44,71,46,5.12,scattered clouds
20,Komsomolskiy,UZ,40.4272,71.7189,60.22,51,0,2.3,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,42.82,87,75,13.8,light intensity shower rain
22,Almeria,ES,37.1667,-2.3333,68.14,59,94,1.05,overcast clouds
23,Mount Isa,AU,-20.7333,139.5,89.37,12,96,10.36,overcast clouds
24,Ilulissat,GL,69.2167,-51.1,24.82,36,0,17.27,clear sky
25,Adre,TD,13.4667,22.2,74.89,70,95,3.6,overcast clouds
26,Dikson,RU,73.5069,80.5464,34.9,86,100,20.31,overcast clouds
27,Buchanan,LR,5.8808,-10.0467,75.16,86,100,5.01,overcast clouds
28,Chernyshevskiy,RU,63.0128,112.4714,34.61,72,100,12.53,overcast clouds
29,Luderitz,NA,-26.6481,15.1594,55.47,79,2,19.19,clear sky
30,Ushuaia,AR,-54.8,-68.3,40.66,87,75,16.11,light intensity drizzle
31,Kenai,US,60.5544,-151.2583,49.08,45,1,4.61,clear sky
32,Hilo,US,19.7297,-155.09,82.13,66,40,8.05,scattered clouds
33,San Vicente,AR,-26.6167,-54.1333,70.9,48,45,0.47,scattered clouds
34,Isangel,VU,-19.55,169.2667,82.51,65,40,9.22,scattered clouds
35,New Ulm,US,44.3125,-94.4605,75.6,47,1,4.61,clear sky
36,Tucumcari,US,35.1717,-103.725,82.24,20,20,12.66,few clouds
37,Grindavik,IS,63.8424,-22.4338,37.87,70,75,21.85,broken clouds
38,Busselton,AU,-33.65,115.3333,58.05,73,100,8.55,overcast clouds
39,Hermanus,ZA,-34.4187,19.2345,54.9,80,6,6.24,clear sky
40,Fairbanks,US,64.8378,-147.7164,39.42,67,75,4.61,broken clouds
41,Amudat,UG,1.95,34.95,72.03,58,97,1.68,overcast clouds
42,Port Macquarie,AU,-31.4333,152.9167,73.38,51,51,13.78,broken clouds
43,Melilla,ES,35.2937,-2.9383,66.58,82,20,2.3,few clouds
44,Mar Del Plata,AR,-38.0023,-57.5575,49.12,73,0,1.01,clear sky
45,Teguldet,RU,57.3064,88.1667,31.71,94,17,3.06,few clouds
46,Tukrah,LY,32.5341,20.5791,72.84,77,53,4.68,broken clouds
47,Upernavik,GL,72.7868,-56.1549,25.07,57,73,4.14,broken clouds
48,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,40,11.5,light rain
49,Esperance,AU,-33.8667,121.9,57.04,79,86,16.75,overcast clouds
50,Yellowknife,CA,62.456,-114.3525,44.42,76,40,3.0,scattered clouds
51,New Norfolk,AU,-42.7826,147.0587,59.76,63,100,1.01,overcast clouds
52,Tasiilaq,GL,65.6145,-37.6368,37.56,59,1,6.49,clear sky
53,Gigmoto,PH,13.7796,124.39,84.24,77,81,4.18,broken clouds
54,Kahului,US,20.8947,-156.47,85.26,74,40,23.02,scattered clouds
55,Cape Town,ZA,-33.9258,18.4232,55.11,74,0,4.61,clear sky
56,Cumbum,IN,9.7333,77.3,73.24,86,100,8.32,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,1.14,light rain
58,South Lake Tahoe,US,38.9332,-119.9844,69.75,28,1,18.41,clear sky
59,Nome,US,64.5011,-165.4064,38.16,60,1,4.61,clear sky
60,Ribeira Grande,PT,38.5167,-28.7,70.23,81,97,11.72,overcast clouds
61,Mecca,SA,21.4267,39.8261,86.4,43,98,5.41,overcast clouds
62,Ozinki,RU,51.1786,49.6769,39.56,71,35,11.56,scattered clouds
63,Bengkulu,ID,-3.8004,102.2655,78.33,86,61,3.53,broken clouds
64,Emerald,AU,-23.5333,148.1667,75.34,57,75,14.97,broken clouds
65,Aykhal,RU,66.0,111.5,31.24,90,100,17.27,overcast clouds
66,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,64,40,11.5,scattered clouds
67,Praia,CV,14.9215,-23.5087,79.34,78,20,6.91,few clouds
68,Chinhoyi,ZW,-17.3667,30.2,65.17,54,16,4.56,few clouds
69,Vao,NC,-22.6667,167.4833,68.14,71,25,9.69,scattered clouds
70,Bethel,US,41.3712,-73.414,73.72,69,1,8.05,clear sky
71,Mataura,NZ,-46.1927,168.8643,55.47,40,66,4.88,broken clouds
72,Heidenau,DE,50.9722,13.8674,63.73,94,0,4.61,clear sky
73,Kapaa,US,22.0752,-159.319,85.98,74,40,7.0,light rain
74,Camargo,MX,27.6667,-105.1667,79.68,28,8,5.26,clear sky
75,Butaritari,KI,3.0707,172.7902,83.88,73,10,18.14,clear sky
76,Paamiut,GL,61.994,-49.6678,34.03,59,0,1.74,clear sky
77,Lompoc,US,34.6391,-120.4579,69.31,86,90,11.5,mist
78,San Jose,US,37.3394,-121.895,77.72,63,40,7.0,smoke
79,Hithadhoo,MV,-0.6,73.0833,82.8,74,100,16.02,overcast clouds
80,Penha,BR,-26.7694,-48.6458,69.89,94,75,4.61,broken clouds
81,Geraldton,AU,-28.7667,114.6,57.61,88,8,8.05,clear sky
82,Kamenka,RU,51.3223,42.7678,45.81,88,100,9.26,overcast clouds
83,Lebu,CL,-37.6167,-73.65,48.31,82,98,14.45,overcast clouds
84,Hobart,AU,-42.8794,147.3294,59.11,61,75,4.0,broken clouds
85,Asgabat,TM,37.95,58.3833,58.86,67,0,4.61,clear sky
86,At-Bashi,KG,41.1702,75.8106,43.88,41,0,0.31,clear sky
87,Ust-Tsilma,RU,65.441,52.1498,41.77,91,100,5.5,overcast clouds
88,Kabansk,RU,52.0486,106.6528,32.49,72,76,11.7,broken clouds
89,Liku,ID,-0.7275,119.8922,83.43,73,94,3.11,overcast clouds
90,Srednekolymsk,RU,67.45,153.6833,27.81,55,47,17.2,scattered clouds
91,Borba,BR,-4.3878,-59.5939,73.83,97,88,1.68,overcast clouds
92,Lavrentiya,RU,65.5833,-171.0,31.87,78,31,1.36,scattered clouds
93,Hofn,IS,64.2539,-15.2082,41.76,68,100,20.22,overcast clouds
94,Zhigansk,RU,66.7697,123.3711,36.21,76,100,27.02,overcast clouds
95,Kaitangata,NZ,-46.2817,169.8464,59.94,40,73,1.77,broken clouds
96,Adrar,MR,20.5022,-10.0711,89.02,11,0,1.86,clear sky
97,Atuona,PF,-9.8,-139.0333,77.85,73,14,19.66,few clouds
98,Bosaso,SO,11.2842,49.1816,87.73,52,81,1.99,broken clouds
99,Barrow,US,71.2906,-156.7887,30.22,80,90,11.5,overcast clouds
100,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
101,Gravdal,NO,68.1214,13.5031,51.55,82,98,12.44,overcast clouds
102,Sochi,RU,43.6,39.7303,59.09,83,100,6.73,light rain
103,Souillac,MU,-20.5167,57.5167,70.36,73,40,11.5,light rain
104,Naze,JP,28.3667,129.4833,83.32,78,5,13.4,clear sky
105,Guerrero Negro,MX,27.9769,-114.0611,69.75,70,0,16.06,clear sky
106,Phangnga,TH,8.4509,98.5298,75.31,84,98,1.23,overcast clouds
107,Chokurdakh,RU,70.6333,147.9167,24.73,82,98,17.56,overcast clouds
108,Gangakher,IN,18.95,76.75,72.63,96,100,12.68,overcast clouds
109,Kargil,IN,34.5667,76.1,50.5,62,2,5.53,clear sky
110,Joshimath,IN,30.5667,79.5667,65.95,76,13,3.33,few clouds
111,Pangody,RU,65.85,74.4859,31.06,76,79,3.44,broken clouds
112,Thompson,CA,55.7435,-97.8558,53.76,82,75,6.91,broken clouds
113,Port Alfred,ZA,-33.5906,26.891,62.15,84,100,17.52,overcast clouds
114,Sorata,BO,-15.7667,-68.6333,45.41,92,68,3.6,broken clouds
115,Tiksi,RU,71.6872,128.8694,32.63,95,99,4.21,light snow
116,Kruisfontein,ZA,-34.0033,24.7314,58.89,84,100,14.14,overcast clouds
117,Port Lincoln,AU,-34.7333,135.8667,68.07,46,55,3.91,broken clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,88.52,70,20,4.61,few clouds
119,Maceio,BR,-9.6658,-35.7353,80.04,78,75,10.36,broken clouds
120,Hashtrud,IR,37.4779,47.0508,53.44,35,0,3.51,clear sky
121,Egvekinot,RU,66.3167,-179.1667,27.07,81,100,2.95,overcast clouds
