City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.6971,-53.4616,57.31,95,86,7.52,overcast clouds
1,Lebu,CL,-37.6167,-73.65,48.83,81,49,15.88,scattered clouds
2,Honiara,SB,-9.4333,159.95,81.86,79,100,4.32,overcast clouds
3,Saint-Philippe,RE,-21.3585,55.7679,69.35,72,44,12.91,scattered clouds
4,Barrow,US,71.2906,-156.7887,30.22,80,90,11.5,overcast clouds
5,Pangkalanbuun,ID,-2.6833,111.6167,78.46,90,74,3.04,broken clouds
6,Mataura,NZ,-46.1927,168.8643,55.47,39,47,4.5,scattered clouds
7,Hermanus,ZA,-34.4187,19.2345,55.9,81,7,6.67,clear sky
8,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,9.22,light rain
9,Puerto Ayora,EC,-0.7393,-90.3518,69.24,90,94,9.8,overcast clouds
10,Hilo,US,19.7297,-155.09,82.13,67,40,8.05,scattered clouds
11,Suntar,RU,62.1444,117.6319,33.73,82,98,10.69,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,87,75,16.11,light intensity drizzle
13,Nikolskoye,RU,59.7035,30.7861,44.87,95,0,3.06,clear sky
14,Kapaa,US,22.0752,-159.319,85.98,75,40,5.01,light rain
15,Busselton,AU,-33.65,115.3333,56.05,78,72,8.57,broken clouds
16,Rikitea,PF,-23.1203,-134.9692,73.56,73,3,20.87,clear sky
17,Saskylakh,RU,71.9167,114.0833,25.36,91,15,8.59,few clouds
18,Tuatapere,NZ,-46.1333,167.6833,55.81,58,63,5.64,broken clouds
19,Chokurdakh,RU,70.6333,147.9167,23.68,82,36,16.02,scattered clouds
20,Atuona,PF,-9.8,-139.0333,78.06,72,11,19.33,few clouds
21,Maba,CN,24.6841,113.5984,83.1,72,24,1.99,few clouds
22,Port Alfred,ZA,-33.5906,26.891,63.07,82,100,17.63,overcast clouds
23,Nhulunbuy,AU,-12.2333,136.7667,84.81,65,40,12.66,scattered clouds
24,Marsabit,KE,2.3284,37.9899,64.2,61,100,18.95,overcast clouds
25,Cidreira,BR,-30.1811,-50.2056,66.31,92,0,13.82,clear sky
26,Alamosa,US,37.4695,-105.87,60.31,87,90,8.05,light rain
27,Adrar,MR,20.5022,-10.0711,89.78,11,0,1.66,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,42.82,87,75,13.8,light intensity shower rain
29,Bluff,NZ,-46.6,168.3333,55.8,63,60,11.81,broken clouds
30,Jamestown,US,42.097,-79.2353,67.64,75,1,1.01,clear sky
31,Kaitangata,NZ,-46.2817,169.8464,58.93,40,74,3.31,broken clouds
32,Auki,SB,-8.7676,160.7034,86.02,62,77,2.53,broken clouds
33,Kahului,US,20.8947,-156.47,86.97,72,40,23.02,scattered clouds
