City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Padang,ID,2021-09-26 14:23:22,-0.9492,100.3543,77.05,95,100,2.42
1,Port Blair,IN,2021-09-26 14:23:22,11.6667,92.75,78.82,89,100,14.03
2,Atar,MR,2021-09-26 14:23:23,20.5169,-13.0499,105.53,10,11,9.22
3,Avarua,CK,2021-09-26 14:23:23,-21.2078,-159.775,69.85,94,75,2.3
4,Rayong,TH,2021-09-26 14:23:23,12.8333,101.4333,80.15,99,100,0.83
5,San Patricio,US,2021-09-26 14:23:24,28.017,-97.5169,79.88,60,7,5.23
6,Saint-Philippe,RE,2021-09-26 14:23:24,-21.3585,55.7679,73.22,83,44,14.56
7,Bonavista,CA,2021-09-26 14:23:24,48.6499,-53.1147,60.12,80,79,17.22
8,Leningradskiy,RU,2021-09-26 14:23:25,69.3833,178.4167,23.95,89,99,7.9
9,Malanje,AO,2021-09-26 14:23:25,-9.5402,16.341,88.39,27,79,6.38
10,Katsuura,JP,2021-09-26 14:19:48,35.1333,140.3,68.14,70,44,9.55
11,Yellowknife,CA,2021-09-26 14:23:26,62.456,-114.3525,36.41,100,75,10.36
12,Constantine,DZ,2021-09-26 14:19:47,36.365,6.6147,96.21,21,40,10.36
13,Hermanus,ZA,2021-09-26 14:23:26,-34.4187,19.2345,63.0,77,70,8.55
14,Ishigaki,JP,2021-09-26 14:23:26,24.3448,124.1572,83.77,77,3,14.63
15,Gandorhun,SL,2021-09-26 14:23:27,7.5,-11.8333,81.37,84,100,4.72
16,Mataura,NZ,2021-09-26 14:23:27,-46.1927,168.8643,30.99,97,9,1.54
17,Geraldton,AU,2021-09-26 14:23:27,-28.7667,114.6,62.13,59,40,10.36
18,Tuatapere,NZ,2021-09-26 14:23:28,-46.1333,167.6833,35.1,87,50,4.45
19,Longyearbyen,SJ,2021-09-26 14:23:29,78.2186,15.6401,39.04,93,75,8.05
20,Castro,BR,2021-09-26 14:23:29,-24.7911,-50.0119,80.26,42,0,4.76
21,Bluff,NZ,2021-09-26 14:23:29,-46.6,168.3333,40.19,71,29,4.25
22,Kununurra,AU,2021-09-26 14:23:30,-15.7667,128.7333,75.18,64,100,3.44
23,Thornhill,GB,2021-09-26 14:23:30,55.2333,-3.7667,65.71,95,100,14.67
24,Port Elizabeth,ZA,2021-09-26 14:23:30,-33.918,25.5701,68.29,73,20,9.22
25,Nanortalik,GL,2021-09-26 14:23:31,60.1432,-45.2371,39.52,62,7,5.66
26,Tambovka,RU,2021-09-26 14:23:31,50.0969,128.0489,57.31,83,90,8.21
27,Thompson,CA,2021-09-26 14:23:32,55.7435,-97.8558,39.36,100,40,0.0
28,Chifeng,CN,2021-09-26 14:23:32,42.2683,118.9636,60.71,84,100,4.99
29,Airai,TL,2021-09-26 14:23:32,-8.9266,125.4092,59.79,91,93,1.7
30,Upernavik,GL,2021-09-26 14:23:33,72.7868,-56.1549,23.7,64,9,4.43
31,Nishihara,JP,2021-09-26 14:23:33,26.1842,127.7558,83.48,85,75,8.05
32,Ponta Delgada,PT,2021-09-26 14:23:00,37.7333,-25.6667,76.5,83,20,10.36
33,Prince George,CA,2021-09-26 14:18:42,53.9166,-122.753,53.04,100,90,10.36
34,Atuona,PF,2021-09-26 14:23:33,-9.8,-139.0333,77.38,75,64,20.29
35,Itacarambi,BR,2021-09-26 14:23:34,-15.1022,-44.0919,88.54,31,98,6.24
36,Rikitea,PF,2021-09-26 14:23:28,-23.1203,-134.9692,73.27,75,19,19.04
37,Lompoc,US,2021-09-26 14:19:28,34.6391,-120.4579,59.56,92,90,3.44
38,Altay,CN,2021-09-26 14:23:34,47.8667,88.1167,42.39,32,88,3.71
39,Husavik,IS,2021-09-26 14:23:35,66.0449,-17.3389,40.91,98,100,28.1
40,Albany,US,2021-09-26 14:19:10,42.6001,-73.9662,63.75,62,69,1.99
41,Victoria,HK,2021-09-26 14:23:35,22.2855,114.1577,85.32,76,83,1.99
42,Lavrentiya,RU,2021-09-26 14:23:36,65.5833,-171.0,31.06,79,100,6.64
43,Cape Town,ZA,2021-09-26 14:23:32,-33.9258,18.4232,72.01,49,0,3.44
44,Dikson,RU,2021-09-26 14:23:36,73.5069,80.5464,36.68,81,100,20.27
45,Plettenberg Bay,ZA,2021-09-26 14:23:37,-34.0527,23.3716,63.66,76,27,9.46
46,Alihe,CN,2021-09-26 14:23:37,50.5667,123.7167,55.67,97,100,7.85
47,Isiro,CD,2021-09-26 14:23:37,2.7739,27.616,76.53,66,59,2.51
48,Reconquista,AR,2021-09-26 14:23:38,-29.15,-59.65,79.23,35,0,7.96
49,Chuy,UY,2021-09-26 14:23:38,-33.6971,-53.4616,67.15,66,33,1.52
50,Souillac,MU,2021-09-26 14:23:39,-20.5167,57.5167,72.36,88,75,10.36
51,Hobart,AU,2021-09-26 14:23:39,-42.8794,147.3294,43.05,85,6,1.01
52,Vostok,RU,2021-09-26 14:23:39,46.4856,135.8833,46.94,89,0,3.83
53,Qaanaaq,GL,2021-09-26 14:23:40,77.484,-69.3632,18.68,68,23,6.87
54,San Juan,AR,2021-09-26 14:23:40,-31.5375,-68.5364,81.73,25,0,24.49
55,Ancud,CL,2021-09-26 14:23:40,-41.8697,-73.8203,49.53,64,6,1.66
56,Manokwari,ID,2021-09-26 14:21:35,-0.8667,134.0833,79.86,78,7,2.95
57,Bredasdorp,ZA,2021-09-26 14:23:41,-34.5322,20.0403,65.52,63,93,10.36
58,Norman Wells,CA,2021-09-26 14:23:41,65.282,-126.8329,30.24,93,90,8.05
59,Belaya Gora,RU,2021-09-26 14:23:42,68.5333,146.4167,33.22,96,100,19.08
60,Ushuaia,AR,2021-09-26 14:23:42,-54.8,-68.3,40.44,53,1,4.27
61,Vaini,TO,2021-09-26 14:23:43,-21.2,-175.2,68.16,94,75,3.44
